episode,avg_return,loss,theta_width_deg
0,4.195100,0.309936,5.00
1,6.462415,1.391483,5.00
2,5.272952,0.911274,5.00
3,5.667543,0.126507,5.00
4,8.636271,3.334766,5.00
5,23.066221,5.445787,5.00
6,41.655836,3.494726,5.00
7,52.077439,5.983310,5.00
8,53.271498,5.955718,5.00
9,60.532697,7.973400,5.00
10,63.713694,11.020033,5.00
11,68.299577,15.857802,5.00
12,73.274036,6.860684,5.00
13,90.578689,4.815834,5.00
14,100.993614,10.092834,5.00
15,86.462427,6.645250,5.00
16,103.695456,18.176304,5.00
17,114.247722,11.678804,5.00
18,150.459655,7.738568,5.00
19,202.343254,6.502453,5.00
20,220.447119,5.392632,5.00
21,222.958997,2.934447,5.00
22,199.812641,2.857394,5.00
23,231.343222,4.983171,5.00
24,173.278902,3.725644,5.00
25,218.158290,9.152312,5.00
26,219.915105,4.095372,5.00
27,217.243490,4.268558,5.00
28,232.596322,1.852238,5.00
29,235.662817,2.337414,5.00
30,196.763416,2.392287,5.00
31,212.286802,4.390798,5.00
32,231.239102,1.667103,5.00
33,211.652792,12.987732,5.00
34,231.759946,5.264248,5.00
35,237.490410,1.523088,5.00
36,194.668657,7.986564,5.00
37,231.408812,0.807505,5.00
38,224.481870,2.155338,5.00
39,236.485194,1.908574,5.00
40,244.552902,1.811997,5.00
41,250.656827,7.690884,5.00
42,253.633873,2.188307,5.00
43,251.766350,1.177669,5.00
44,245.759560,3.491961,5.00
45,173.775837,3.733946,5.00
46,224.096011,3.242345,5.00
47,258.724644,1.548614,5.00
48,262.160114,14.755587,5.00
49,242.155822,4.174607,5.00
50,264.607240,3.244680,5.00
51,248.636146,3.403693,5.00
52,258.939286,2.099069,5.00
53,249.408115,3.172792,5.00
54,263.184048,1.578319,5.00
55,246.943844,1.422013,5.00
56,237.648287,3.999361,5.00
57,258.622040,1.993974,5.00
58,265.830454,2.264658,5.00
59,252.103532,3.581760,5.00
60,256.919538,4.440065,5.00
61,255.466539,2.529462,5.00
62,273.758956,3.149523,5.00
63,270.485424,2.143108,5.00
64,261.066950,2.219730,5.00
65,272.686308,1.554267,5.00
66,260.299812,2.361756,5.00
67,272.599314,2.041042,5.00
68,240.252219,10.584534,5.00
69,272.350374,3.126763,5.00
70,270.433927,19.236392,5.00
71,265.734694,2.050966,5.00
72,213.988791,25.533774,5.00
73,270.408371,2.850165,5.00
74,263.126551,3.371478,5.00
75,277.930052,2.042297,5.00
76,259.422689,11.681890,5.00
77,221.683864,5.035180,5.00
78,247.238862,11.736440,5.00
79,274.904521,2.504694,5.00
80,204.223113,49.076462,5.00
81,233.013329,8.352135,5.00
82,264.085319,14.677980,5.00
83,272.050741,12.678402,5.00
84,250.743540,27.544095,5.00
85,263.455419,2.063005,5.00
86,251.661669,1.553928,5.00
87,260.008075,2.502679,5.00
88,264.809734,27.881267,5.00
89,204.395594,26.633057,5.00
90,258.091206,2.949183,5.00
91,272.400947,3.189704,5.00
92,269.510011,5.142215,5.00
93,222.582915,4.301073,5.00
94,249.871580,23.961992,5.00
95,256.563175,2.920165,5.00
96,268.929960,1.464774,5.00
97,253.369340,22.252928,5.00
98,265.749078,1.342457,5.00
99,224.473521,24.513835,5.00
100,241.297108,5.745103,5.00
101,256.856334,8.397910,5.00
102,245.557550,4.136885,5.00
103,251.838053,17.782240,5.00
104,256.533718,3.141005,5.00
105,243.483964,8.840606,5.00
106,272.019081,3.002039,5.00
107,215.846873,3.592864,5.00
108,245.158274,30.077784,5.00
109,228.751318,3.482482,5.00
110,275.178575,3.135777,5.00
111,235.694330,12.248994,5.00
112,248.151808,3.654546,5.00
113,256.764606,3.062027,5.00
114,263.146788,3.237186,5.00
115,217.460580,55.619050,5.00
116,217.362058,10.911035,5.00
117,232.666633,18.617732,5.00
118,215.139018,4.611586,5.00
119,240.628769,15.499289,5.00
120,187.093360,70.868434,5.00
121,166.921493,9.465961,5.00
122,191.542624,34.846443,5.00
123,240.997833,5.649003,5.00
124,262.734998,2.850035,5.00
125,219.557758,17.835755,5.00
126,256.595624,9.719474,5.00
127,189.355198,8.792453,5.00
128,263.655584,3.670758,5.00
129,214.866225,25.212301,5.00
130,270.218686,4.131782,5.00
131,215.943326,6.576627,5.00
132,203.148935,8.425715,5.00
133,255.303924,25.526133,5.00
134,203.605809,8.906705,5.00
135,188.598372,10.705808,5.00
136,252.391016,7.084323,5.00
137,231.622451,10.747789,5.00
138,259.185249,32.979960,5.00
139,261.958556,36.299310,5.00
140,180.898879,31.161739,5.00
141,235.992902,13.949746,5.00
142,234.990175,11.033494,5.00
143,271.174757,13.527405,5.00
144,218.685841,46.159803,5.00
145,231.752593,29.292448,5.00
146,262.416059,11.126622,5.00
147,208.789856,20.425043,5.00
148,257.260380,8.754338,5.00
149,273.337125,6.224949,5.00
